4,14900.1,140512,-4.21E+03,52,315,5844
3,7455.78,14692.4,-2578.64,69,134,970
3,18490,162616,-9.86E+03,83,388,6290
4,16094.8,111929,-6.27E+03,41,322,4619
2,3778.28,2128.17,-1068.91,23,54,165
0,7288.57,12383.9,-2641.91,27,123,725
3,9346.35,27429.7,-2909.98,93,158,1403
4,9419.52,30924.8,-1.89E+03,25,156,1364
0,9596.77,58559,-5867,112,209,2968
3,8635.73,12035.6,-2763.36,90,136,619
0,15502.9,110327,-9131,179,329,4063
3,25814.3,328900,-9.93E+03,78,540,8870
0,13583.2,14562,-4579,148,231,697
4,21854.4,515572,-11632.7,145,540,18067
4,7248.75,15522.2,-2646.81,64,134,970
3,15003.3,82164.1,-2.00E+03,67,223,2059
2,3903.38,1451.2,-987.792,42,52,133
0,10845.9,49735,-5527,80,207,2386
5,8921.47,38391.2,-3866.59,51,180,2054
4,9036.54,51735,-1.28E+03,22,188,2599
2,3943.4,1449.97,-964.742,41,52,133
0,12602,95222,-6507,267,276,4157
0,13464.5,74290,-10597,61,323,3135
3,11066.5,37732.1,-3840.33,99,205,1751
5,8699.03,29192.2,-3383.46,122,171,1747
0,12565,58077,-6112,38,231,2606
4,9162.38,26158.7,-3338.14,24,174,1415
3,11055.3,77773.1,-5.45E+03,39,272,3539
4,8900.25,12235.9,-2797.59,89,136,619
3,13702.4,141961,-6189.44,179,308,6057
0,9613.92,46675,-3183,36,202,2319
0,8519.39,15694,-2947.29,102,138,934
0,39680.2,1282300,-21711,188,981,31307
2,12499.9,18249.6,-3.22E+03,49,150,519
3,18115.1,161072,-1.02E+04,96,388,6290
0,9634.52,47131,-2703,112,208,2392
3,24677.3,469596,-1.28E+04,46,483,15505
0,14909.4,112349,-3416,54,329,5117
1,11392.9,67476.1,-5314.26,142,247,3373
5,2290.93,57.272,-6.58E+02,96,33,5
4,11766.2,30892.7,-5.87E+02,32,166,1111
0,10623.5,37823,-5881,16,190,1870
0,5874.07,5150.82,-2279.11,8,99,321
0,8457.6,11464,-4114,61,127,653
5,12678.1,56642.7,-4205.9,29,215,2394
3,25030.2,265310,-1.02E+04,108,537,8350
3,9119.85,25326.5,-7.95E+02,16,166,1111
4,7986.62,12876.8,-2603.86,24,132,806
2,4134.36,2174.1,-967.736,20,54,165
3,9082.22,51979.8,-3.41E+03,24,188,2599
3,2533.86,50.9638,-4.47E+02,96,33,5
4,4955.44,3712.59,-2.34E+03,11,79,292
0,7229.51,14921,-3195,43,145,807
0,4971.98,1961,-1616,12,78,149
0,14772.3,102492,-7417,54,308,4248
0,9785.83,38084,-5647,22,212,2122
0,6812.61,17280,-3212,70,125,1062
4,7914.91,8834.93,-1.48E+03,21,102,516
0,9786.99,17278,-5395,97,182,892
0,9277.84,48316,-3717,23,190,2596
0,15947.4,236801,-11443,450,384,9123
4,10936.9,57399.9,-4.09E+03,49,223,2822
0,13877.8,112508,-8213,221,279,4813
3,23552.6,272344,-1.27E+04,85,540,8870
0,10492.9,36874,-5079,61,209,1874
0,6028.46,3836,-1663,13,89,246
3,18300.1,202098,-8.83E+03,55,390,7459
0,7158.81,9436.53,-3453.2,16,138,554
5,23258.4,279876,-9677.47,70,468,9276
3,14819.8,92578.6,-5.59E+03,43,254,3885
0,7596.6,13151,-4361,11,139,808
2,5096.25,4218.55,-1.15E+03,11,79,317
0,12677.7,81331,-6391,51,294,4060
2,7222.16,5442.5,-1.55E+03,16,79,292
3,20754.8,189756,-7.34E+03,75,403,6746
2,2589.72,60.3042,-4.31E+02,92,33,5
